"TIG_TinyPNG::TinyPNG","TinyPNG"
"TIG_TinyPNG::Version &amp; Support","Version &amp; Support"
"TIG_TinyPNG::Enable TinyPNG","Enable TinyPNG"
"TIG_TinyPNG::Logging disabled","Logging disabled"
"TIG_TinyPNG::Exceptions only","Exceptions only"
"TIG_TinyPNG::Errors and Exceptions","Errors and Exceptions"
"TIG_TinyPNG::All logging information","All logging information"
"TIG_TinyPNG::A long time ago","A long time ago"
"TIG_TinyPNG::%s month ago","%s month ago"
"TIG_TinyPNG::%s months ago","%s months ago"
"TIG_TinyPNG::%s year ago","%s year ago"
"TIG_TinyPNG::%s years ago","%s years ago"
"TIG_TinyPNG::%s day ago","%s days ago"
"TIG_TinyPNG::%s week ago","%s weeks ago"
"TIG_TinyPNG::%s hour ago","%s hours ago"
"TIG_TinyPNG::%s minute ago","%s minutes ago"
"TIG_TinyPNG::%s second ago","%s seconds ago"
"TIG_TinyPNG::...and %d more images","...and %d more images"
"TIG_TinyPNG::There are no saved compressions available.","There are no saved compressions available."
"TIG_TinyPNG::Warning: Flushing the image cache will cause the TinyPNG module to recompress all images. When having a big catalog this can lead to high costs.\n\nAre you sure you want to continue?","Let op: Het flushen van de afbeeldingen cache heeft als gevolg dat de TinyPNG module alle afbeeldingen opnieuw gaat comprimeren. Bij een grote catalogus kan dit leiden tot hoge kosten.\n\nWeet je zeker dat je wilt doorgaan?"
"TIG Tinypng %s","TIG Tinypng %s"
"TIG_TinyPNG::Information about the TinyPNG extension","Informatie over de TinyPNG extensie"
"TIG_TinyPNG::Magento & 3rd party version compatibility","Magento 1 & 3rd party versie compabiliteit"
"TIG_TinyPNG::Magento Community Edition version","Magento Community Editie versie"
"TIG_TinyPNG::Magento Enterprise Edition version","Magento Enterprise Editie versie"
"TIG_TinyPNG::Support","Ondersteuning"
"TIG_TinyPNG::The extension is developed by TIG.","Deze extensie is ontwikkeld door TIG."
"TIG_TinyPNG::Website:","Website:"
"TIG_TinyPNG::Support website:","Ondersteunende website:"
"TIG_TinyPNG::Extension support and configuration questions","Extensie ondersteuning en configuratie vragen"
"TIG_TinyPNG::For questions about installing and configuring the extension please consult the relevant documentation:","Heeft u vragen over de installatie of configuratie? Raadpleeg dan eerst de relevante documentatie:"
"TIG_TinyPNG::Frequently asked questions","Veelgestelde vragen"
"TIG_TinyPNG::FAQ","Veelgestelde vragen"
"TIG_TinyPNG::Installation Manual","Installatiehandleiding"
"TIG_TinyPNG::Do you have any additional questions?","Heeft u aanvullende vragen?"
"TIG_TinyPNG::Please contact the TIG servicedesk for additional questions.","Voor aanvullende vragen kunt u terecht bij de TIG Servicedesk."
"TIG_TinyPNG::Ask your question","Stel uw vraag"
"TIG_TinyPNG::TIG.nl","TIG.nl"
"TIG_TinyPNG::TIG Knowledgebase","TIG Kennisbank"
"TIG_TinyPNG::Operational. Last status check was performed at %s.","Operational. Last status check was performed at %s."
"TIG_TinyPNG::Nonoperational. Last status check was performed at %s.","Nonoperational. Last status check was performed at %s."
"TIG_TinyPNG::Click the button to check the API status.","Click the button to check the API status."
"TIG_TinyPNG::Check status","Check status"
"TIG_TinyPNG::TinyPNG API Status","TinyPNG API Status"
"TIG_TinyPNG::We saved %s%% this month! The greatest compression was %s%%.","We saved %s%% this month! The greatest compression was %s%%."
"TIG_TinyPNG::There are %s compressions done this month.","There are %s compressions done this month."
"TIG_TinyPNG::TinyPNG Settings","TinyPNG Settings"
"TIG_TinyPNG::On","On"
"TIG_TinyPNG::Off","Off"
"TIG_TinyPNG::Test","Test"
"TIG_TinyPNG::Live","Live"
"TIG_TinyPNG::If this is set to Off, TinyPNG will no longer compress images","If this is set to Off, TinyPNG will no longer compress images"
"TIG_TinyPNG::If test mode is activated, the extension will do real compressions. The result won't be saved.","If test mode is activated, the extension will do real compressions. The result won't be saved."
"TIG_TinyPNG::API Key","API Key"
"TIG_TinyPNG::You can fetch the API Key from the <a href=""https://tinypng.com/developers/subscription"" target=""_BLANK"">TinyPNG website</a>.","You can fetch the API Key from the <a href=""https://tinypng.com/developers/subscription"" target=""_BLANK"">TinyPNG website</a>."
"TIG_TinyPNG::Product images to be compressed","Product images to be compressed"
"TIG_TinyPNG::Messages that should be logged","Messages that should be logged"
"TIG_TinyPNG::TinyPNG Status","TinyPNG Status"
"TIG_TinyPNG::Status","Status"
"TIG_TinyPNG::Saved","Saved"
"TIG_TinyPNG::The Api Key is invalid","The Api Key is invalid"
"TIG_TinyPNG::Category images","Category images"
"TIG_TinyPNG::Block images","Block images"
"TIG_TinyPNG::CMS page images","CMS page images"
"TIG_TinyPNG::Thumbnail","Thumbnail"
"TIG_TinyPNG::Small Image","Small Image"
"TIG_TinyPNG::Base Image","Base Image"
"TIG_TinyPNG::Media Image","Media Image"
"TIG_TinyPNG::File","File"
"TIG_TinyPNG::File size","File size"
"TIG_TinyPNG::Bytes Saved","Bytes Saved"
"TIG_TinyPNG::Percentage saved","Percentage saved"
"TIG_TinyPNG::Time","Time"
"TIG_TinyPNG::Show more","Show more"
"TIG_TinyPNG::Show less","Show less"
"TIG_TinyPNG::Download TinyPNG log file","Download TinyPNG log file"
